paso,posicion,velocidad,accion,recompensa,siguiente_posicion,siguiente_velocidad,llego_a_la_bandera,limite_de_tiempo
40,-0.4154629707336426,-0.02164865843951702,0,-1.0,-0.43890851736068726,-0.023445526137948036,False,False
41,-0.43890851736068726,-0.023445526137948036,0,-1.0,-0.46398240327835083,-0.025073891505599022,False,False
42,-0.46398240327835083,-0.025073891505599022,0,-1.0,-0.4905010461807251,-0.02651863545179367,False,False
43,-0.4905010461807251,-0.02651863545179367,0,-1.0,-0.5182675123214722,-0.027766460552811623,False,False
44,-0.5182675123214722,-0.027766460552811623,0,-1.0,-0.5470739603042603,-0.028806444257497787,False,False
45,-0.5470739603042603,-0.028806444257497787,0,-1.0,-0.5767044425010681,-0.029630525037646294,False,False
46,-0.5767044425010681,-0.029630525037646294,0,-1.0,-0.606938362121582,-0.030233915895223618,False,False
47,-0.606938362121582,-0.030233915895223618,0,-1.0,-0.6375537514686584,-0.03061535954475403,False,False
48,-0.6375537514686584,-0.03061535954475403,0,-1.0,-0.6683309674263,-0.03077724762260914,False,False
49,-0.6683309674263,-0.03077724762260914,0,-1.0,-0.6990565061569214,-0.030725544318556786,False,False
50,-0.6990565061569214,-0.030725544318556786,0,-1.0,-0.7295260429382324,-0.030469542369246483,False,False
51,-0.7295260429382324,-0.030469542369246483,0,-1.0,-0.7595475316047668,-0.03002147004008293,False,False
52,-0.7595475316047668,-0.03002147004008293,0,-1.0,-0.7889435291290283,-0.029395973309874535,False,False
53,-0.7889435291290283,-0.029395973309874535,0,-1.0,-0.8175530433654785,-0.02860950492322445,False,False
54,-0.8175530433654785,-0.02860950492322445,0,-1.0,-0.8452327251434326,-0.027679692953824997,False,False
55,-0.8452327251434326,-0.027679692953824997,0,-1.0,-0.8718574047088623,-0.026624711230397224,False,False
56,-0.8718574047088623,-0.026624711230397224,0,-1.0,-0.8973200917243958,-0.025462681427598,False,False
57,-0.8973200917243958,-0.025462681427598,0,-1.0,-0.9215312600135803,-0.024211162701249123,False,False
58,-0.9215312600135803,-0.024211162701249123,0,-1.0,-0.9444180130958557,-0.02288672886788845,False,False
59,-0.9444180130958557,-0.02288672886788845,0,-1.0,-0.9659226536750793,-0.021504631265997887,False,False
60,-0.9659226536750793,-0.021504631265997887,0,-1.0,-0.986001193523407,-0.02007857710123062,False,False
61,-0.986001193523407,-0.02007857710123062,0,-1.0,-1.0046217441558838,-0.01862058974802494,False,False
62,-1.0046217441558838,-0.01862058974802494,0,-1.0,-1.021762728691101,-0.017140954732894897,False,False
63,-1.021762728691101,-0.017140954732894897,0,-1.0,-1.0374109745025635,-0.01564822904765606,False,False
64,-1.0374109745025635,-0.01564822904765606,2,-1.0,-1.049560308456421,-0.012149306945502758,False,False
65,-1.049560308456421,-0.012149306945502758,2,-1.0,-1.0582096576690674,-0.008649369701743126,False,False
66,-1.0582096576690674,-0.008649369701743126,2,-1.0,-1.0633604526519775,-0.005150734446942806,False,False
67,-1.0633604526519775,-0.005150734446942806,2,-1.0,-1.065014123916626,-0.0016536726616322994,False,False
68,-1.065014123916626,-0.0016536726616322994,2,-1.0,-1.0631712675094604,0.001842757104896009,False,False
69,-1.0631712675094604,0.001842757104896009,2,-1.0,-1.0578314065933228,0.0053398869931697845,False,False
70,-1.0578314065933228,0.0053398869931697845,2,-1.0,-1.0489927530288696,0.008838615380227566,False,False
71,-1.0489927530288696,0.008838615380227566,2,-1.0,-1.0366542339324951,0.012338578701019287,False,False
72,-1.0366542339324951,0.012338578701019287,2,-1.0,-1.0208169221878052,0.015837328508496284,False,False
73,-1.0208169221878052,0.015837328508496284,2,-1.0,-1.001487374305725,0.019329503178596497,False,False
74,-1.001487374305725,0.019329503178596497,2,-1.0,-0.9786813855171204,0.022806033492088318,False,False
75,-0.9786813855171204,0.022806033492088318,2,-1.0,-0.9524279832839966,0.026253407821059227,False,False
76,-0.9524279832839966,0.026253407821059227,2,-1.0,-0.9227749109268188,0.029653046280145645,False,False
77,-0.9227749109268188,0.029653046280145645,2,-1.0,-0.8897939920425415,0.03298089653253555,False,False
78,-0.8897939920425415,0.03298089653253555,2,-1.0,-0.8535866737365723,0.03620731085538864,False,False
79,-0.8535866737365723,0.03620731085538864,2,-1.0,-0.814289391040802,0.039297327399253845,False,False
80,-0.814289391040802,0.039297327399253845,2,-1.0,-0.7720779180526733,0.04221148416399956,False,False
81,-0.7720779180526733,0.04221148416399956,2,-1.0,-0.7271707057952881,0.04490721598267555,False,False
82,-0.7271707057952881,0.04490721598267555,2,-1.0,-0.6798298358917236,0.04734085127711296,False,False
83,-0.6798298358917236,0.04734085127711296,2,-1.0,-0.6303596496582031,0.04947015270590782,False,False
84,-0.6303596496582031,0.04947015270590782,2,-1.0,-0.5791024565696716,0.051257241517305374,False,False
85,-0.5791024565696716,0.051257241517305374,2,-1.0,-0.5264308452606201,0.05267159640789032,False,False
86,-0.5264308452606201,0.05267159640789032,2,-1.0,-0.47273799777030945,0.053692836314439774,False,False
87,-0.47273799777030945,0.053692836314439774,2,-1.0,-0.41842514276504517,0.05431285873055458,False,False
88,-0.41842514276504517,0.05431285873055458,2,-1.0,-0.36388805508613586,0.054537080228328705,False,False
89,-0.36388805508613586,0.054537080228328705,2,-1.0,-0.3095034956932068,0.05438455939292908,False,False
90,-0.3095034956932068,0.05438455939292908,2,-1.0,-0.25561651587486267,0.05388699099421501,False,False
91,-0.25561651587486267,0.05388699099421501,2,-1.0,-0.20252977311611176,0.05308673903346062,False,False
92,-0.20252977311611176,0.05308673903346062,2,-1.0,-0.15049560368061066,0.0520341731607914,False,False
93,-0.15049560368061066,0.0520341731607914,2,-1.0,-0.09971092641353607,0.050784673541784286,False,False
94,-0.09971092641353607,0.050784673541784286,2,-1.0,-0.05031523108482361,0.049395691603422165,False,False
95,-0.05031523108482361,0.049395691603422165,2,-1.0,-0.0023911127354949713,0.04792411997914314,False,False
96,-0.0023911127354949713,0.04792411997914314,2,-1.0,0.04403306916356087,0.04642418399453163,False,False
97,0.04403306916356087,0.04642418399453163,2,-1.0,0.08897903561592102,0.044945962727069855,False,False
98,0.08897903561592102,0.044945962727069855,2,-1.0,0.13251353800296783,0.04353450611233711,False,False
99,0.13251353800296783,0.04353450611233711,2,-1.0,0.17474301159381866,0.04222946614027023,False,False
100,0.17474301159381866,0.04222946614027023,2,-1.0,0.2158081978559494,0.041065189987421036,False,False
101,0.2158081978559494,0.041065189987421036,2,-1.0,0.255879282951355,0.040071092545986176,False,False
102,0.255879282951355,0.040071092545986176,2,-1.0,0.2951515018939972,0.039272207766771317,False,False
103,0.2951515018939972,0.039272207766771317,2,-1.0,0.33384135365486145,0.03868986666202545,False,False
104,0.33384135365486145,0.03868986666202545,2,-1.0,0.3721836805343628,0.03834231570363045,False,False
105,0.3721836805343628,0.03834231570363045,2,-1.0,0.4104290306568146,0.03824535757303238,False,False
106,0.4104290306568146,0.03824535757303238,2,-1.0,0.4488418400287628,0.03841279447078705,False,False
107,0.4488418400287628,0.03841279447078705,2,-1.0,0.48769864439964294,0.038856808096170425,False,False
108,0.48769864439964294,0.038856808096170425,2,-1.0,0.52728670835495,0.0395880751311779,True,False
